row_id,date,period,year,month,month_name,product_name,category,region,channel,customer_segment,units_sold,returns,net_units,unit_price,unit_cost,gross_revenue,cogs,gross_profit,net_revenue,gross_margin_pct
1,2024-01-01,Jan 2024,2024,1,January,Potato Chips,Snacks,North,Supermarket,Seniors,141,0,141,3.42,1.44,482.22,203.04,279.18,482.22,57.89
2,2024-01-01,Jan 2024,2024,1,January,Tortilla Chips,Snacks,North,Supermarket,Students,378,4,374,1.58,0.66,597.24,249.48,347.76,590.92,58.23
3,2024-01-01,Jan 2024,2024,1,January,Pretzels,Snacks,North,Supermarket,Seniors,606,5,601,2.33,0.98,1411.98,593.88,818.1,1400.33,57.94
4,2024-01-01,Jan 2024,2024,1,January,Popcorn,Snacks,North,Supermarket,Seniors,470,11,459,2.17,0.91,1019.9,427.7,592.2,996.03,58.06
5,2024-01-01,Jan 2024,2024,1,January,Crackers,Snacks,North,Supermarket,Young Adults,169,4,165,3.71,1.56,626.99,263.64,363.35,612.15,57.95
6,2024-01-01,Jan 2024,2024,1,January,Nuts Mix,Snacks,North,Supermarket,Students,317,4,313,3.53,1.48,1119.01,469.16,649.85,1104.89,58.07
7,2024-01-01,Jan 2024,2024,1,January,Cola 500ml,Beverages,North,Supermarket,Family,274,3,271,3.21,1.22,879.54,334.28,545.26,869.91,61.99
8,2024-01-01,Jan 2024,2024,1,January,Orange Juice 1L,Beverages,North,Supermarket,Students,104,2,102,1.03,0.39,107.12,40.56,66.56,105.06,62.14
9,2024-01-01,Jan 2024,2024,1,January,Mineral Water 1.5L,Beverages,North,Supermarket,Health-Conscious,115,2,113,1.94,0.74,223.1,85.1,138.0,219.22,61.86
10,2024-01-01,Jan 2024,2024,1,January,Energy Drink,Beverages,North,Supermarket,Students,266,7,259,0.88,0.33,234.08,87.78,146.3,227.92,62.5
11,2024-01-01,Jan 2024,2024,1,January,Iced Tea 330ml,Beverages,North,Supermarket,Young Adults,179,5,174,1.39,0.53,248.81,94.87,153.94,241.86,61.87
12,2024-01-01,Jan 2024,2024,1,January,Sports Drink,Beverages,North,Supermarket,Students,321,9,312,2.16,0.82,693.36,263.22,430.14,673.92,62.04
13,2024-01-01,Jan 2024,2024,1,January,Full Cream Milk 1L,Dairy,North,Supermarket,Young Adults,501,15,486,1.3,0.72,651.3,360.72,290.58,631.8,44.62
14,2024-01-01,Jan 2024,2024,1,January,Greek Yogurt 200g,Dairy,North,Supermarket,Family,199,1,198,1.96,1.08,390.04,214.92,175.12,388.08,44.9
15,2024-01-01,Jan 2024,2024,1,January,Cheddar Cheese 250g,Dairy,North,Supermarket,Students,283,1,282,3.67,2.02,1038.61,571.66,466.95,1034.94,44.96
16,2024-01-01,Jan 2024,2024,1,January,Butter 250g,Dairy,North,Supermarket,Students,489,8,481,3.27,1.8,1599.03,880.2,718.83,1572.87,44.95
17,2024-01-01,Jan 2024,2024,1,January,Cream Cheese 150g,Dairy,North,Supermarket,Family,411,10,401,2.04,1.12,838.44,460.32,378.12,818.04,45.1
18,2024-01-01,Jan 2024,2024,1,January,White Bread Loaf,Bakery,North,Supermarket,Health-Conscious,222,6,216,2.77,1.39,614.94,308.58,306.36,598.32,49.82
19,2024-01-01,Jan 2024,2024,1,January,Whole Wheat Bread,Bakery,North,Supermarket,Seniors,408,1,407,3.43,1.72,1399.44,701.76,697.68,1396.01,49.85
20,2024-01-01,Jan 2024,2024,1,January,Croissant 4pk,Bakery,North,Supermarket,Students,399,0,399,1.02,0.51,406.98,203.49,203.49,406.98,50.0
21,2024-01-01,Jan 2024,2024,1,January,Muffins 6pk,Bakery,North,Supermarket,Young Adults,426,8,418,3.42,1.71,1456.92,728.46,728.46,1429.56,50.0
22,2024-01-01,Jan 2024,2024,1,January,Bagels 4pk,Bakery,North,Supermarket,Seniors,223,6,217,3.09,1.54,689.07,343.42,345.65,670.53,50.16
23,2024-01-01,Jan 2024,2024,1,January,Milk Chocolate Bar,Confectionery,North,Supermarket,Young Adults,795,11,784,1.61,0.64,1279.95,508.8,771.15,1262.24,60.25
24,2024-01-01,Jan 2024,2024,1,January,Dark Chocolate Bar,Confectionery,North,Supermarket,Health-Conscious,318,0,318,1.23,0.49,391.14,155.82,235.32,391.14,60.16
25,2024-01-01,Jan 2024,2024,1,January,Gummy Bears,Confectionery,North,Supermarket,Family,526,11,515,2.91,1.16,1530.66,610.16,920.5,1498.65,60.14
26,2024-01-01,Jan 2024,2024,1,January,Jelly Beans,Confectionery,North,Supermarket,Young Adults,466,9,457,1.61,0.64,750.26,298.24,452.02,735.77,60.25
27,2024-01-01,Jan 2024,2024,1,January,Hard Candy Mix,Confectionery,North,Supermarket,Students,180,0,180,1.09,0.44,196.2,79.2,117.0,196.2,59.63
