product_name,category,unit_price,unit_cost
Potato Chips,Snacks,3.42,1.44
Tortilla Chips,Snacks,1.58,0.66
Pretzels,Snacks,2.33,0.98
Popcorn,Snacks,2.17,0.91
Crackers,Snacks,3.71,1.56
Nuts Mix,Snacks,3.53,1.48
Cola 500ml,Beverages,3.21,1.22
Orange Juice 1L,Beverages,1.03,0.39
Mineral Water 1.5L,Beverages,1.94,0.74
Energy Drink,Beverages,0.88,0.33
Iced Tea 330ml,Beverages,1.39,0.53
Sports Drink,Beverages,2.16,0.82
Full Cream Milk 1L,Dairy,1.3,0.72
Greek Yogurt 200g,Dairy,1.96,1.08
Cheddar Cheese 250g,Dairy,3.67,2.02
Butter 250g,Dairy,3.27,1.8
Cream Cheese 150g,Dairy,2.04,1.12
White Bread Loaf,Bakery,2.77,1.39
Whole Wheat Bread,Bakery,3.43,1.72
Croissant 4pk,Bakery,1.02,0.51
Muffins 6pk,Bakery,3.42,1.71
Bagels 4pk,Bakery,3.09,1.54
Milk Chocolate Bar,Confectionery,1.61,0.64
Dark Chocolate Bar,Confectionery,1.23,0.49
Gummy Bears,Confectionery,2.91,1.16
Jelly Beans,Confectionery,1.61,0.64
Hard Candy Mix,Confectionery,1.09,0.44
Frozen Pizza,Frozen,3.03,1.45
Ice Cream 1L,Frozen,7.16,3.44
Frozen Fries 1kg,Frozen,5.82,2.79
Fish Fingers 400g,Frozen,6.94,3.33
Frozen Peas 500g,Frozen,6.51,3.12
Canned Tuna 185g,Canned Goods,1.67,0.75
Canned Beans 400g,Canned Goods,2.45,1.1
Canned Tomatoes 400g,Canned Goods,1.38,0.62
Canned Corn 340g,Canned Goods,1.69,0.76
Tomato Ketchup 500ml,Condiments,3.57,1.54
Mustard 250g,Condiments,3.05,1.31
Mayonnaise 400g,Condiments,3.65,1.57
BBQ Sauce 350ml,Condiments,2.94,1.26
Hot Sauce 150ml,Condiments,3.26,1.4
