Month,Month_End_Date,Advisory_AUM,Brokerage_AUM,Level0_AUM,Total_AUM,PCG_Advisory,PCG_Brokerage,WBS_Advisory,WBS_Brokerage,FINET_Advisory,FINET_Brokerage,WFAS_Advisory,WFAS_Brokerage
Jan-25,2025-01-31,259242468360.0,163195608878.0,12633674753.0,422438077238.0,129069729257.0,81250626825.0,53469120805.0,33659322029.0,46537447175.0,29295767300.0,30166171123.0,18989892725.0
Feb-25,2025-02-28,250156751462.0,174191826642.0,12621969257.0,424348578104.0,123604508562.0,86069614359.0,51329591031.0,35742370215.0,34296013348.0,23881367090.0,40926638521.0,28498474979.0
Mar-25,2025-03-31,245507777734.0,156813973349.0,7263471938.0,402321751083.0,121522588109.0,77620513977.0,50800575598.0,32448015217.0,38984773867.0,24900870134.0,34199840160.0,21844574021.0
Apr-25,2025-04-30,253721033522.0,154086916493.0,7990158905.0,407807950015.0,125717647609.0,76349384204.0,57865663906.0,35142304122.0,42591069339.0,25865914440.0,27546652667.0,16729313728.0
May-25,2025-05-31,243562342995.0,159397254402.0,9699215639.0,402959597397.0,133519893460.0,87380931567.0,46592040676.0,30491755291.0,42029191284.0,27505638241.0,21421217575.0,14018929303.0
Jun-25,2025-06-30,256236653403.0,158092565883.0,9992773653.0,414329219286.0,130305238441.0,80395560977.0,54870686790.0,33854046840.0,39698173551.0,24492928838.0,31362554621.0,19350029228.0
Jul-25,2025-07-31,251376932616.0,149955245038.0,6355315762.0,401332177654.0,132943873376.0,79305729850.0,54201846829.0,32333321670.0,33951086390.0,20253025709.0,30280126020.0,18063167809.0
Aug-25,2025-08-31,247583689815.0,143381521859.0,7073859372.0,390965211674.0,131116744199.0,75932781915.0,54598979216.0,31619549486.0,36775497174.0,21297552985.0,25092469225.0,14531637473.0
Sep-25,2025-09-30,253995531332.0,167719560445.0,10804815129.0,421715091777.0,138029689775.0,91144433826.0,53448809067.0,35293576686.0,35867402894.0,23684137340.0,26649629595.0,17597412593.0
Oct-25,2025-10-31,241128326111.0,156004363127.0,9646158437.0,397132689238.0,130750318744.0,84592385031.0,48643177945.0,31470993550.0,30933332224.0,20013139356.0,30801497198.0,19927845190.0
Nov-25,2025-11-30,261826948063.0,148642264349.0,8251264208.0,410469212412.0,133264652671.0,75655924179.0,55544854799.0,31533472973.0,42119695634.0,23911850858.0,30897744958.0,17541016339.0
Dec-25,2025-12-31,266730234341.0,153503060516.0,5814779581.0,420233294857.0,133475703191.0,76815172435.0,56674734761.0,32616269623.0,41058920916.0,23629379840.0,35520875472.0,20442238619.0
Jan-26,2026-01-31,242893623082.0,145416208459.0,10769294867.0,388309831541.0,123004508294.0,73640670317.0,47831309227.0,28635777033.0,33062775491.0,19794111480.0,38995030070.0,23345649629.0
Feb-26,2026-02-28,234144022799.0,162075692232.0,10560081529.0,396219715031.0,118780244392.0,82220293746.0,51143119624.0,35401529438.0,30280522221.0,20960332625.0,33940136563.0,23493536423.0
Mar-26,2026-03-31,269912772055.0,159391945530.0,5778941222.0,429304717585.0,135847275170.0,80222070706.0,64124867778.0,37867742805.0,41383964499.0,24438527177.0,28556664608.0,16863604842.0
