EOM_DT,CUSIP,SEC_SYM,MF_FAM_DESC,MF_NM,MF_CLASS,EXISTS_ON_MSTA,CHANNEL,ACCT_TYP,PROGRAM,LEGACY_PROGRAM,RTMT_ACCT_TYP,TRADE_SIDE,EXCHANGE_IND,GROSS_AMOUNT,NET_ORIG_AMOUNT,NET_AMOUNT,TRD_CNT,Is_it_a_MF,Rec,ACL,Fund_ID,Brand,Mstar_Cat,US_cat
2025-06-30,3TV3I12VJ,ZZOUX,AMERICAN FUNDS,AMERICAN FUNDS Bond Fund A,A,Y,FINET,BROKERAGE,BROKERAGE,BROKERAGE,QP,S,N,4899500.21,-4899500.21,-4899500.21,42,Y,N,Y,FSUSA1CZS7,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2025-10-31,IUC039TEX,YENPX,DWS FUNDS,DWS FUNDS Bond Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,IRA,P,N,2621399.55,2621399.55,2621399.55,45,Y,Y,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2025-07-31,FB9W1Q5UZ,JKDRX,VANGUARD,VANGUARD Growth Fund A,A,Y,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,NON-RETIREMENT,S,N,2052181.86,-2052181.86,-2052181.86,36,Y,Y,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-03-31,Y6B2KNFTU,UECWX,VANGUARD,VANGUARD Bond Fund INV,INV,Y,WFAS,BROKERAGE,BROKERAGE,MASTERS,QP,P,N,2665868.76,2665868.76,2665868.76,16,Y,Y,N,FSUSAF3MVF,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-01-31,3NX39RBSV,WWLNX,CAPITAL GROUP,CAPITAL GROUP Growth Fund A,A,Y,PCG,ADVISORY,ADVISORY,MASTERS,SEP,P,N,1036785.34,1036785.34,1036785.34,44,Y,N,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2026-01-31,YYO4UDOJE,JTGJX,BLACKROCK,BLACKROCK Bond Fund INST,INST,Y,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SEP,S,N,1452618.03,-1452618.03,-1452618.03,14,Y,Y,N,FSCAPSG2R8,BlackRock,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-03-31,DMLY4LYK8,VOLIX,BLACKROCK,BLACKROCK Value Fund C,C,Y,FCCS,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,P,N,3704584.44,3704584.44,3704584.44,27,Y,Y,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2025-01-31,0YNCXLL4Z,HIKKX,FIDELITY,FIDELITY Bond Fund A,A,Y,WFAS,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SIM,S,N,4889564.6,-4889564.6,-4889564.6,49,N,Y,Y,FSUSAP0XJP,Fidelity,US Fund Multisector Bond,US Fund Multisector Bond
2025-11-30,HZIOYKL1C,LZZBX,FIRST EAGLE,FIRST EAGLE Bond Fund A,A,Y,FCCS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,P,N,2675993.81,2675993.81,2675993.81,12,Y,Y,N,FSUSAMFLIX,First Eagle,US Fund Multisector Bond,US Fund Multisector Bond
2025-03-31,EDFQS3D63,XYKKX,INVESCO,INVESCO Allocation Fund A,A,Y,PCG,BROKERAGE,BROKERAGE,ASSET ADVISOR,SEP,S,N,4810675.83,-4810675.83,-4810675.83,42,Y,Y,N,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-08-31,2EK3ZEZQA,CGVOX,JPMORGAN,JPMORGAN Allocation Fund A,A,Y,FINET,BROKERAGE,BROKERAGE,CUSTOMCHOICE,IRA,P,N,4044164.98,4044164.98,4044164.98,19,Y,N,Y,FSUSAD1XUN,JPMorgan,US Fund Moderate Allocation,US Fund Moderate Allocation
2026-02-28,8VMUHXID4,JTOUX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund INST,INST,N,FCCS,ADVISORY,ADVISORY,PERSONALIZED UMA,SEP,P,N,1639969.33,1639969.33,1639969.33,1,Y,Y,Y,FSINVCNRVP,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-05-31,2960361I2,FEGTX,JPMORGAN,JPMORGAN Bond Fund A,A,Y,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,SIM,P,N,2864600.3,2864600.3,2864600.3,26,Y,N,N,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond
2025-12-31,WOCLYT8W5,MOQGX,T ROWE PRICE,T ROWE PRICE Blend Fund INST,INST,Y,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,P,N,4580693.86,4580693.86,4580693.86,48,N,Y,Y,FSINVVY2S9,T. Rowe Price,US Fund Large Blend,US Fund Large Blend
2026-01-31,UXLEZ896D,RNAIX,INVESCO,INVESCO Bond Fund A,A,Y,WFAS,ADVISORY,ADVISORY,ASSET ADVISOR,QP,P,N,3320640.15,3320640.15,3320640.15,46,Y,N,Y,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
