EOM_DT,MF_NM,MF_CLASS,ASSET_CLASS,CHANNEL,ACCT_TYP,PROGRAM,LEGACY_PROGRAM,RET_ACCT_TYPE,POS_MKT_VAL,POSITION_COUNT,Is_it_a_MF,Rec,ACL,Fund_ID,Brand,Mstar_Cat,US_cat
2025-01-31,MFS Blend Fund A,A,Alternative Fund,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,SEP,330722926.5,244,Y,N,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-07-31,VANGUARD Bond Fund INST,INST,Bond Fund,WBS,BROKERAGE,BROKERAGE,PIM,SEP,63115285.01,427,Y,Y,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-07-31,FRANKLIN TEMPLETON Blend Fund C,C,Alternative Fund,PCG,BROKERAGE,BROKERAGE,ASSET ADVISOR,IRA,333627809.72,384,Y,N,Y,FSC8379085,Franklin Templeton,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-02-28,INVESCO Bond Fund A,A,International Equity Fund,WBS,BROKERAGE,BROKERAGE,MASTERS,SEP,483973033.86,383,Y,Y,Y,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-02-28,FIRST EAGLE Bond Fund A,A,Alternative Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,NON-RETIREMENT,265451355.28,156,Y,Y,Y,FSUSAMFLIX,First Eagle,US Fund Multisector Bond,US Fund Multisector Bond
2026-01-31,DWS FUNDS Bond Fund A,A,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,FC/QC,SIM,63971962.43,346,Y,Y,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2025-09-30,PIMCO Blend Fund A,A,Money Market Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,428046340.44,481,Y,Y,Y,FSCAPPXIH2,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-03-31,BLACKROCK Value Fund C,C,International Equity Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,NON-RETIREMENT,10544581.13,110,Y,Y,N,FSINVHB0YI,BlackRock,US Fund Large Value,US Fund Large Value
2025-02-28,BLACKROCK Allocation Fund INST,INST,Alternative Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,IRA,77812553.69,212,Y,Y,Y,FSCAPJJ3ZW,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-04-30,BLACKROCK Value Fund C,C,Alternative Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,SIM,423815968.32,223,Y,N,Y,FSINVHB0YI,BlackRock,US Fund Large Value,US Fund Large Value
2025-11-30,BLACKROCK Blend Fund INST,INST,Bond Fund,WBS,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,69999000.78,461,Y,N,Y,FSUSA4B2GI,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2026-01-31,FRANKLIN TEMPLETON Bond Fund INST,INST,Money Market Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,SIM,291607520.78,310,Y,Y,N,FSINVCNRVP,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-03-31,FIRST EAGLE Blend Fund C,C,International Equity Fund,PCG,ADVISORY,ADVISORY,FC/QC,SEP,129106191.55,351,Y,N,Y,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2026-01-31,VANGUARD Bond Fund A,A,International Equity Fund,WBS,BROKERAGE,BROKERAGE,ASSET ADVISOR,IRA,37239036.32,401,N,Y,Y,FSINVZ17YR,Vanguard,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-10-31,MFS Blend Fund A,A,International Equity Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SIM,42632190.3,171,Y,Y,Y,FSCAPUR81B,MFS,US Fund Small Blend,US Fund Small Blend
