CUSIP,Ticker,Allowable_List,Rec,ACL,Fund_Legal_Name,Fund_ID,Branding_Name,US_Category_Group,Global_Broad_Category_Group,Morningstar_Category,Share_Class,Inception_Date,Net_Assets_Date,Net_Assets_M,Net_Assets_Currency,Management_Fee,Prospectus_12b1,Shareholder_Fee,Is_SMA_or_529,Is_Master_List_Fund,Real_Share_Class
GJ1JPZU7S,KSDX,Y,Y,Y,Hartford Funds High Yield Bond Fund A,FSUSAQWH6N,Hartford Funds,Fixed Income,Taxable Bond,US Fund High Yield Bond,A,09/19/2008,03/31/2026,56165.24,USD,1.035,0.0,0.2367,N,Y,Y
TGRBE801R,ESLX,Y,Y,Y,Harbor Tactical Allocation Fund A,FSUSA7GTFD,Harbor,Allocation,Allocation,US Fund Tactical Allocation,A,02/04/2002,03/31/2026,79621.18,USD,0.7952,0.0,0.1543,N,Y,Y
1NZ7E5W1W,DEPX,Y,Y,Y,Eaton Vance Tactical Allocation Fund C,FSUSAPDEFG,Eaton Vance,Allocation,Allocation,US Fund Tactical Allocation,C,03/24/2001,03/31/2026,65509.68,USD,0.9778,0.5,0.0293,N,Y,Y
PQND570PR,TFVX,N,Y,N,Hartford Funds Small Blend Fund R,FSUSALYYL5,Hartford Funds,U.S. Equity,U.S. Equity,US Fund Small Blend,R,08/05/1988,03/31/2026,57331.51,USD,0.3747,0.0,0.1879,N,Y,Y
7J5PYWKZW,JSSX,Y,Y,Y,Columbia Threadneedle Small Growth Fund I,FSUSA9YQN6,Columbia Threadneedle,U.S. Equity,U.S. Equity,US Fund Small Growth,I,09/17/2013,03/31/2026,81996.8,USD,0.3126,0.25,0.0429,N,Y,N
UALY1F2RG,RUUX,Y,Y,Y,Hartford Funds Large Blend Fund A,FSUSA11RUX,Hartford Funds,U.S. Equity,U.S. Equity,US Fund Large Blend,A,01/16/2011,03/31/2026,17064.18,USD,0.1227,0.0,0.0769,Y,Y,Y
92PFREER4,GPXX,N,Y,Y,Principal Intermediate Core-Plus Bond Fund Inst,FSUSAZQ8GJ,Principal,Fixed Income,Taxable Bond,US Fund Intermediate Core-Plus Bond,Inst,01/27/2013,03/31/2026,32556.48,USD,1.0093,1.0,0.1198,N,Y,Y
SM0VUXVQF,UDLX,Y,Y,Y,Capital Group Moderate Allocation Fund C,FSUSAVBBMH,Capital Group,Allocation,Allocation,US Fund Moderate Allocation,C,09/16/1992,03/31/2026,59135.9,USD,0.5595,0.5,0.0293,N,N,Y
U1DEEUBTN,DUXX,Y,N,Y,Russell Investments Commodities Broad Basket Fund Investor,FSUSAN2HW8,Russell Investments,Commodities,Commodities,US Fund Commodities Broad Basket,Investor,07/30/1991,03/31/2026,68810.92,USD,0.5798,0.0,0.1847,N,Y,Y
0W65F6FRJ,AGPX,Y,Y,Y,Vanguard Foreign Large Blend Fund Inst,FSUSAWVA8E,Vanguard,International Equity,International Equity,US Fund Foreign Large Blend,Inst,05/10/1992,03/31/2026,24694.19,USD,0.6417,0.5,0.0101,N,N,Y
FY171Q02F,CAYX,N,Y,Y,Goldman Sachs Diversified Emerging Mkts Fund A,FSUSAPBJJ4,Goldman Sachs,International Equity,International Equity,US Fund Diversified Emerging Mkts,A,10/01/1987,03/31/2026,71208.78,USD,0.2449,1.0,0.1573,N,Y,Y
9CVME7DTH,VDTX,N,N,N,Touchstone Investments High Yield Bond Fund Retirement,FSUSAVH5QG,Touchstone Investments,Fixed Income,Taxable Bond,US Fund High Yield Bond,Retirement,02/27/2015,03/31/2026,21153.28,USD,1.025,0.0,0.1629,N,Y,Y
