CUSIP,SEC_SYM,MF_FAM_DESC,MF_NM,Fund_ID,Brand,Mstar_Cat,US_cat,Is_SMA_or_529,Allowable_List,Is_Master_List_Fund,Real_Share_Class,Broad_Category
VBDIVUZZP,LHWTX,VANGUARD,VANGUARD Growth Fund A,FSCAP853QJ,Vanguard,US Fund Large Growth,US Fund Large Growth,N,Y,Y,N,Commodities
4V30T9NT3,QWPSX,INVESCO,INVESCO Growth Fund C,FSCAP5YC33,Invesco,US Fund Small Growth,US Fund Small Growth,N,Y,N,Y,International Equity
4FMYZYCWT,GMHYX,DWS FUNDS,DWS FUNDS Bond Fund A,FSCAPZUVDG,DWS,US Fund High Yield Bond,US Fund High Yield Bond,N,N,N,Y,Alternative
JH75LXO6Q,GGOGX,MFS,MFS Blend Fund A,FSCAPUR81B,MFS,US Fund Small Blend,US Fund Small Blend,N,Y,N,Y,International Equity
4FFYVNVQJ,OYRCX,LORD ABBETT,LORD ABBETT Blend Fund INST,FSINVDZ4HR,Lord Abbett,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,Y,International Equity
JSG65KXVF,TOUNX,FIRST EAGLE,FIRST EAGLE Blend Fund INST,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend,N,Y,N,Y,Alternative
IUC039TEX,YENPX,DWS FUNDS,DWS FUNDS Bond Fund A,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,N,Allocation
CATVAZCCB,INHMX,CAPITAL GROUP,CAPITAL GROUP Blend Fund INST,FSC7363842,capital group,US Fund Small Blend,US Fund Small Blend,N,Y,Y,N,Commodities
MO5BXXC02,CENDX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Value Fund INST,FSINV8HE3N,Franklin Templeton,US Fund Large Value,US Fund Large Value,N,Y,Y,N,Fixed Income
4874FRHOC,JZGUX,INVESCO,INVESCO Bond Fund C,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,N,Y,Fixed Income
0CVS4F8CG,PRGDX,T ROWE PRICE,T ROWE PRICE Bond Fund C,FSINV5AYKJ,T. Rowe Price,US Fund Short-Term Bond,US Fund Short-Term Bond,Y,N,Y,Y,Allocation
HZIOYKL1C,LZZBX,FIRST EAGLE,FIRST EAGLE Bond Fund A,FSUSAMFLIX,First Eagle,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,Y,Sector Equity
ZW9XA3KX7,DDCOX,CAPITAL GROUP,CAPITAL GROUP Blend Fund A,FSCAPVVD5U,capital group,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Sector Equity
4DPJA1WJ0,OLABX,PIMCO,PIMCO Bond Fund S,FSCAP7M9HW,PIMCO,US Fund Short-Term Bond,US Fund Short-Term Bond,N,Y,N,Y,Allocation
6246HID25,KQEYX,FIRST EAGLE,FIRST EAGLE Growth Fund INST,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,International Equity
3J2D54I3Q,HUFAX,NUVEEN,NUVEEN Value Fund INV,FSC8073988,Nuveen,US Fund Large Value,US Fund Large Value,N,Y,N,N,Fixed Income
T7E8G8JDP,SIPNX,CAPITAL GROUP,CAPITAL GROUP Blend Fund A,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,N,Commodities
0YNCXLL4Z,HIKKX,FIDELITY,FIDELITY Bond Fund A,FSUSAP0XJP,Fidelity,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,Y,Y,Sector Equity
O4KH2VLPY,NUYTX,PIMCO,PIMCO Blend Fund A,FSINVNDQ6K,PIMCO,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Alternative
FB9W1Q5UZ,JKDRX,VANGUARD,VANGUARD Growth Fund A,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Allocation
U7EEQTUL1,LVXLX,FIRST EAGLE,FIRST EAGLE Estate Fund INST,FSUSAS7SPG,First Eagle,US Fund Real Estate,US Fund Real Estate,Y,Y,N,Y,Fixed Income
WJCKJLTEI,SSBKX,FIRST EAGLE,FIRST EAGLE Blend Fund C,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend,N,N,N,Y,Alternative
R7KO64T02,XMHMX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund C,FSC8379085,Franklin Templeton,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,Y,Y,Y,Y,Allocation
6VXDP5GJL,LIWHX,FIDELITY,FIDELITY Bond Fund INST,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,N,Y,Allocation
C8BBI4WIR,CYMGX,NUVEEN,NUVEEN Blend Fund A,FSUSAGQ1Y8,Nuveen,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,Y,International Equity
U6N7HV3IZ,HRUUX,JPMORGAN,JPMORGAN Value Fund S,FSUSAS5BKX,JPMorgan,US Fund Large Value,US Fund Large Value,N,Y,Y,Y,Commodities
RPN6QFGSX,QXUMX,LORD ABBETT,LORD ABBETT Estate Fund A,FSINVN2N0F,Lord Abbett,US Fund Real Estate,US Fund Real Estate,N,Y,Y,N,Fixed Income
