Month_End_Date,Month_Label,FS_Gross_Purchases,Pathways_Gross,Overall_Net_Advisory,Overall_Net_Brokerage,Overall_Net,PCG_Net_Advisory,PCG_Net_Brokerage,PCG_Total_Net,WBS_Net_Advisory,WBS_Net_Brokerage,WBS_Total_Net,FINET_Net_Advisory,FINET_Net_Brokerage,FINET_Total_Net,WFAS_Net_Advisory,WFAS_Net_Brokerage,WFAS_Total_Net,Rec_Funds_Net_incl_Exchanges,Master_List_Funds_Net_incl_Exch
2025-01-31,Jan-25,33687917,0,-318827946,-342254058,-661082004,-157234465,-154288173,-311522638,-72442720,-72265021,-144707741,-86552447,-65906108,-152458555,-12935174,-22848609,-35783783,7239536,321049198
2025-02-28,Feb-25,400467126,0,-258003313,-473853881,-731857194,-136038692,-192304319,-328343011,-61401825,-80266507,-141668332,-52577520,-73890960,-126468480,-10616703,-53306137,-63922840,-7093397,131158227
2025-03-31,Mar-25,114996800,0,-106216046,-273103963,-379320009,-55698451,-131695778,-187394229,-31648727,-49609000,-81257727,-26872184,-66081854,-92954038,-7930636,-16601246,-24531882,-7229552,104820001
2025-04-30,Apr-25,282430262,0,-167025482,-473103888,-640129370,-80954758,-212127007,-293081765,-46130633,-87431742,-133562375,-42714959,-88667410,-131382369,-10906833,-53238804,-64145637,153431671,234327732
2025-05-31,May-25,153092004,0,-292301901,-187903755,-480205656,-171270925,-90028741,-261299666,-78282514,-33959156,-112241670,-86304787,-41268239,-127573026,-12227123,-16668217,-28895340,-20684143,236022108
2025-06-30,Jun-25,6018321,0,-289093540,-165395621,-454489161,-172890882,-66778312,-239669194,-70202849,-26532655,-96735504,-78500214,-25964679,-104464893,-11335799,-15660455,-26996254,-9191605,2775681
2025-07-31,Jul-25,456803312,0,-256358774,-243171958,-499530732,-141080413,-106937547,-248017960,-51649748,-52242142,-103891890,-52514477,-45920742,-98435219,-8856504,-19363486,-28219990,64049787,164692764
2025-08-31,Aug-25,390439669,0,-147721760,-352641895,-500363655,-83786079,-189454723,-273240802,-37061656,-81656827,-118718483,-36941910,-67373435,-104315345,-8697222,-39504716,-48201938,207038966,176010259
2025-09-30,Sep-25,219471577,0,-342855748,-106205055,-449060803,-170174932,-58034310,-228209242,-94200789,-25943651,-120144440,-94507691,-18050540,-112558231,-22048463,-10135798,-32184261,-81216438,111675741
2025-10-31,Oct-25,119020350,0,-225847033,-78055152,-303902185,-118968181,-32482900,-151451081,-64534444,-16636975,-81171419,-67473195,-13210527,-80683722,-15220115,-6991550,-22211665,-15903916,151676616
2025-11-30,Nov-25,438901854,0,-168575222,-60762308,-229337530,-94804822,-29995937,-124800759,-44142006,-12221991,-56363997,-49428064,-14872758,-64300822,-12306460,-4804972,-17111432,19859190,44548565
2025-12-31,Dec-25,294612662,0,-115471422,-199178796,-314650218,-57105717,-92086695,-149192412,-24223030,-30238237,-54461267,-23587222,-46486353,-70073575,-4975259,-15906244,-20881503,148449998,33525097
2026-01-31,Jan-26,342476454,0,-182285881,-473935621,-635291502,-214385865,-277975388,-492361253,-142166356,52806908,-89359448,-78170585,34406406,-43764179,-13986787,-35524681,-49511468,274854027,134084688
2026-02-28,Feb-26,359373311,0,-239116205,-205992598,-33125607,-41328434,-283253280,-324581714,-138505960,-86158799,-224664759,-234393080,-106893388,-341286468,-13498070,-53769997,-67268067,10973293,3623323
2026-03-31,Mar-26,66967099,0,-776166010,-568477592,-1344643602,-400368918,-283253280,-683622198,-138505960,-86158799,-224664759,-234393080,-106893388,-341286468,-13498070,-53769997,-67268067,-27846561,575366511
