Month,Month_End_Date,Commission_Revenue,Trail_Revenue,Total_Revenue,Advisory_Pct,Brokerage_Pct
Jan-25,2025-01-31,31017373.0,147002340.0,178019713.0,0.6406,0.3594
Feb-25,2025-02-28,30673246.0,167088387.0,197761633.0,0.6496,0.3504
Mar-25,2025-03-31,32770940.0,164638019.0,197408959.0,0.6466,0.3534
Apr-25,2025-04-30,32927849.0,159357360.0,192285209.0,0.6146,0.3854
May-25,2025-05-31,30168925.0,133694745.0,163863670.0,0.6072,0.3928
Jun-25,2025-06-30,27499276.0,135835088.0,163334364.0,0.6328,0.3672
Jul-25,2025-07-31,29217440.0,145829136.0,175046576.0,0.5649,0.4351
Aug-25,2025-08-31,34464220.0,158814129.0,193278349.0,0.5543,0.4457
Sep-25,2025-09-30,26673933.0,135025604.0,161699537.0,0.6012,0.3988
Oct-25,2025-10-31,25991329.0,153955904.0,179947233.0,0.5841,0.4159
Nov-25,2025-11-30,32997703.0,153601420.0,186599123.0,0.6288,0.3712
Dec-25,2025-12-31,32524470.0,131559947.0,164084417.0,0.5552,0.4448
Jan-26,2026-01-31,31950199.0,144914875.0,176865074.0,0.5529,0.4471
Feb-26,2026-02-28,31791724.0,133971920.0,165763644.0,0.5991,0.4009
Mar-26,2026-03-31,34949727.0,133847526.0,168797253.0,0.6484,0.3516
